timestamp,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20
0.0008422610405325996,-0.1374553202838425,-0.1391825168783012,-0.3091614035999686,-0.0016846679288110029,-0.1717464771207694,-0.17004492518022615,47.68248687232113,47.615353079632165,47.687210026091,47.599180629034706,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0008529195735976216,-0.1638842341013769,-0.13379658559737193,-0.3387036128686858,0.030129171727152113,-0.1748588176008209,-0.2049715044800216,47.68217395837099,47.61575405358496,47.68687757411727,47.59964749413556,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0009093180486067805,-0.28709657792300575,-0.10779939405017065,-0.47655116613141674,0.1793337694449868,-0.18948933725195086,-0.36880858211169476,47.67969424214749,47.6187760287843,47.68392511358891,47.603233179391594,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0009657165236159394,-0.3804684715064551,-0.0866002717089028,-0.5811858975776407,0.2939004347950807,-0.200748042930968,-0.4946356803323803,47.67606821208239,47.62306145998222,47.679274960193794,47.608396035641896,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0010221149986250982,-0.44297306968390243,-0.07073672239131128,-0.6513639643515154,0.3722647491025489,-0.20841787075880944,-0.5806713442550052,47.67163718650487,47.628250340515294,47.67337812249555,47.61470312972144,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.001078513473634257,-0.4752613204654961,-0.06042659663649299,-0.6877125339125069,0.41485974826945266,-0.21247498170645318,-0.6273247951956881,47.66674019072813,47.63398225024808,47.666693379742114,47.62171657861371,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0011349119486434157,-0.479440230781502,-0.05558833728158168,-0.6924926128704518,0.4238739421853529,-0.21307332397081838,-0.6369385127598943,47.66169798458114,47.63991364804196,47.65966468455364,47.62901483823416,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0011636187556618028,-0.4717911184444039,-0.05512455047608759,-0.6839149739815609,0.41668724068120944,-0.21214349051778347,-0.6288225240680677,47.65916997750801,47.642907721396675,47.65608812469103,47.63271318751814,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.00119232556268019,-0.4582180528181642,-0.05592397786674319,-0.6686483291321795,0.40231345756453146,-0.2104486859555018,-0.61275444856271,47.65671355582572,47.64583541841011,47.65257794110153,47.63633860730595,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.001221032369698577,-0.4392896491174844,-0.05790567762762812,-0.6473217350367672,0.3814021445129302,-0.20804934668993363,-0.5894442764565243,47.65435948883719,47.64866315667878,47.64917920135634,47.63984883199717,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0012497391767169641,-0.415612200813015,-0.06097717796165896,-0.6206081642837749,0.35465206176998354,-0.2050121470669273,-0.5596574443335425,47.652135137961764,47.651360900476554,47.645932660011226,47.64320577827705,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
